VFID,RA,DEC,vr,FLUX_AP06_FUV,FLUX_AP06_NUV,FLUX_AP06_G,FLUX_AP06_R,FLUX_AP06_Z,FLUX_AP06_W1,FLUX_AP06_W2,FLUX_AP06_W3,FLUX_AP06_W4,FLUX_IVAR_AP06_FUV,FLUX_IVAR_AP06_NUV,FLUX_IVAR_AP06_G,FLUX_IVAR_AP06_R,FLUX_IVAR_AP06_Z,FLUX_IVAR_AP06_W1,FLUX_IVAR_AP06_W2,FLUX_IVAR_AP06_W3,FLUX_IVAR_AP06_W4,logMstar,logSFR,logmass,logsfr
4,182.82775049999998,74.8082222,1683.0,0.0,0.0,1339.9754638671875,2566.181640625,3198.550537109375,1862.6221923828125,989.9450073242188,2631.89501953125,3091.27099609375,0.0,0.0,1.1856052875518799,0.3025812804698944,0.07907048612833023,0.10534106940031052,0.04100994020700455,0.00022923316282685846,9.067089195013978e-06,9.254306332331286,-2.4046140191908583,9.54,-1.14
7,118.2363,74.576533,2346.0,59.826419830322266,100.3304214477539,598.7843627929688,882.0342407226562,914.6744384765625,561.152099609375,291.01055908203125,911.8833618164062,1844.9708251953125,0.21526208519935608,0.35377928614616394,0.95184725522995,0.22888138890266418,0.141473188996315,0.20178815722465515,0.05844782665371895,0.00014652764366474003,5.887959559913725e-06,8.712733859069951,-1.1963380767637757,8.91,-1.65
30,158.5963845,73.7650129,1148.8,139.2818145751953,181.67604064941406,2917.857177734375,5870.2919921875,7953.94970703125,6853.166015625,4133.4287109375,16818.896484375,22500.8359375,0.0194476880133152,0.03992146998643875,0.8755950331687927,0.4187658131122589,0.08302201330661774,0.055424388498067856,0.02615310251712799,0.00018879957497119904,7.530009042966412e-06,9.396548037987133,-1.4168012260313771,9.55,-0.72
137,157.60279200000002,70.0515889,1920.1,95.84248352050781,133.7149658203125,618.503173828125,907.1038208007812,671.4357299804688,424.81488037109375,244.4250946044922,781.152587890625,1138.1083984375,0.5713590979576111,2.205406904220581,5.493763446807861,1.5153650045394897,0.508884072303772,0.5134294033050537,0.17237040400505066,0.000981210614554584,3.1175484764389694e-05,8.366236123718293,-1.2875186621980812,9.42,-0.55
557,168.33596400000002,59.9079749,1059.4,145.23416137695312,192.89593505859375,1273.6480712890625,2042.146728515625,1732.6859130859375,722.4522705078125,386.1739196777344,717.0375366210938,1499.11474609375,0.018392711877822876,0.03566637262701988,1.1627411842346191,0.45355424284935,0.10363971441984177,0.2160869687795639,0.06240389868617058,0.00020048893929924816,8.128931767714676e-06,8.108565023732835,-1.9118639112994487,8.81,-1.03
727,168.887676,58.4784112,1451.9,23.158519744873047,51.06671142578125,378.0278625488281,559.4908447265625,365.39471435546875,288.6524353027344,154.50341796875,153.42169189453125,-557.841796875,1.0941712856292725,1.382220983505249,1.105703353881836,0.3644826412200928,0.12020839005708694,0.2221987247467041,0.056026481091976166,0.0002186555357184261,8.779275049164426e-06,7.858897957232004,-2.3057458879747217,,
827,200.2180545,57.6448147,2133.6,528.8115234375,661.1725463867188,2895.533447265625,4094.698486328125,4229.091796875,3041.6982421875,1839.05224609375,7783.65869140625,18698.90625,0.006487611681222916,0.029918840155005455,0.8318394422531128,0.308313250541687,0.08231400698423386,0.11543775349855423,0.04955281689763069,0.0002767975383903831,1.0892922546190675e-05,9.224533062606085,-0.575935474582512,9.29,-0.38
1060,175.61340900000002,54.8189902,1246.3,2.6632447242736816,16.086780548095703,833.7949829101562,1608.7867431640625,2107.34814453125,1145.53125,587.2470092773438,153.0775604248047,-270.62054443359375,0.49594420194625854,4.524453163146973,1.9549560546875,0.3847768306732178,0.19575268030166626,0.20373688638210297,0.0674186423420906,0.00026283005718141794,1.080609126802301e-05,8.748962861256162,-3.8091082830778302,,
1390,210.2203575,49.3754082,1907.5,63.959983825683594,99.12831115722656,606.880859375,941.621826171875,540.59619140625,489.5404357910156,246.37557983398438,663.1363525390625,778.9078369140625,0.4481717646121979,0.9510036706924438,0.5752566456794739,0.1305921971797943,0.050022609531879425,0.12600356340408325,0.030573207885026932,0.00011460791574791074,4.4996245378570165e-06,8.6862786780672,-1.5744657795017365,,
2579,222.721248,34.1974048,1208.1,7.258352279663086,13.32347297668457,64.9163589477539,91.50408935546875,72.23545837402344,49.95335006713867,23.626667022705078,-7.444460868835449,-165.16749572753906,0.28650808334350586,1.0808430910110474,6.83718204498291,2.661076068878174,0.7721776962280273,1.19841730594635,0.28367024660110474,0.0018784713465720415,7.534154428867623e-05,6.813113754007898,-2.746419710437817,,
4321,180.2936325,14.1040318,1531.3,468.4324951171875,629.3480224609375,2512.040283203125,3439.76953125,4251.3916015625,2436.31787109375,1409.11328125,5149.42626953125,14608.6064453125,0.006262194365262985,0.012860435992479324,0.5939985513687134,0.18049994111061096,0.0358613021671772,0.06254460662603378,0.017030522227287292,6.552086415467784e-05,2.956803427878185e-06,8.668479102932586,-0.7762445463427589,8.59,-0.93
6069,165.3174825,3.628104,1130.3,51.438045501708984,151.8887176513672,2086.2080078125,4249.955078125,7737.21630859375,5586.505859375,3316.93896484375,18888.095703125,20868.685546875,1.6566416025161743,2.3898532390594482,4.0287041664123535,1.7270350456237793,0.3481261432170868,0.06538747996091843,0.03038010746240616,0.00021927386114839464,9.945079000317492e-06,9.182984967003582,-0.5204246898250116,9.96,-0.31
5286,184.3104825,8.9423131,1350.9,-3.631258010864258,36.61495590209961,1103.155029296875,1877.61865234375,2601.038330078125,971.3711547851562,441.5348815917969,384.2203063964844,-340.0529479980469,1.124761939048767,2.5898706912994385,1.225095510482788,0.5821737051010132,0.0778287947177887,0.06687003374099731,0.01551633607596159,4.570183591567911e-05,1.990491000469774e-06,8.893206753059848,-3.7872798455821575,8.8,-2.8
5583,137.1000555,6.9514888,1560.7,6.598799228668213,20.114042282104492,234.51223754882812,359.6225280761719,466.1292419433594,205.69549560546875,93.91803741455078,-68.34103393554688,643.5934448242188,6.293416500091553,7.921484470367432,2.7962985038757324,1.3156561851501465,0.20945307612419128,0.24378131330013275,0.057703278958797455,0.00017622056475374848,7.745082257315516e-06,8.028977705208778,-2.7632109005907073,,
6449,179.7884655,1.4941805,2159.0,-15.35761833190918,6.945537567138672,90.25885009765625,224.90768432617188,372.7492370605469,577.5924682617188,337.87451171875,-1098.493408203125,2091.67529296875,0.6016815900802612,0.5883255004882812,0.4466048777103424,0.06981107592582703,0.017312465235590935,0.023673221468925476,0.005310436245054007,1.6299647541018203e-05,7.236682790789928e-07,8.941809473008838,-1.6194269969331128,,
303,204.472935,63.9194728,2641.0,6.302455902099609,12.847358703613281,90.25817108154297,146.63369750976562,172.47401428222656,98.3155288696289,50.557830810546875,-12.22512149810791,122.24116516113281,0.20088189840316772,0.40088552236557007,4.187000751495361,0.8105384707450867,0.5014644265174866,1.141030192375183,0.3072812855243683,0.0021092956885695457,8.300596527988091e-05,8.128399268717807,-1.9605858808238628,,
2767,203.55444,31.8919358,2508.8,19.188720703125,40.732025146484375,375.3390808105469,581.4539184570312,792.9981689453125,325.67425537109375,158.4988250732422,125.69390869140625,404.3113098144531,0.410024493932724,0.42353618144989014,1.0160255432128906,0.29302501678466797,0.10210420191287994,0.3112126290798187,0.07851944118738174,0.0003392128273844719,1.4160865248413756e-05,8.601842789782099,-2.048322562656699,,
3007,225.2798385,28.7608614,1821.0,20.41667938232422,13.456313133239746,120.41162872314453,186.58599853515625,294.4814453125,304.1525573730469,111.39651489257812,150.56007385253906,1573.627197265625,0.022141333669424057,0.022551704198122025,0.43423813581466675,0.08963188529014587,0.011436778120696545,0.04362526535987854,0.01001521572470665,8.339300256920978e-05,3.3849369174276944e-06,8.279894980011639,-1.0500248221703463,,
2404,164.4458805,36.260757,607.8,250.7521514892578,254.42115783691406,829.7577514648438,1107.5496826171875,804.0994873046875,636.9808349609375,301.67193603515625,1349.1790771484375,1633.184814453125,0.007816508412361145,0.01582922413945198,0.17145559191703796,0.10248209536075592,0.029021326452493668,0.05426840856671333,0.012888445518910885,4.687273394665681e-05,1.987179075513268e-06,7.374014740291911,-2.1216505777822245,,
3079,236.41377599999998,28.0885226,2145.3,134.339599609375,167.81690979003906,1924.86181640625,3602.6123046875,6269.857421875,4885.29736328125,2979.21142578125,20423.03515625,26484.998046875,0.011722099035978317,0.2663908004760742,0.5974808931350708,0.15949687361717224,0.015166869387030602,0.04062030091881752,0.013495850376784801,0.00011156978871440515,4.431306933838641e-06,9.69099303209987,-0.7456936676687144,9.92,-0.33
3140,248.139822,27.4585832,2603.8,46.39196014404297,64.49610137939453,332.05841064453125,429.8536071777344,405.2337646484375,182.5030517578125,98.50984954833984,-227.26608276367188,1027.745849609375,0.060656286776065826,0.2244749218225479,2.1359784603118896,0.781913697719574,0.10939423739910126,0.2417980283498764,0.06367722898721695,0.00016720648272894323,6.7789992499456275e-06,8.137037454789512,-1.6176226965318863,,
1731,166.4370047012638,44.83210189496299,771.7275390625,48.45440673828125,45.41728591918945,224.99920654296875,290.8898010253906,268.9186096191406,138.4619598388672,82.9765625,117.91755676269531,781.4703979492188,0.10337711125612259,0.5552807450294495,2.622404098510742,1.1999144554138184,0.36916378140449524,0.43385106325149536,0.10450112074613571,0.00034586875699460506,1.4333654689835384e-05,7.048441803550404,-2.73969005420508,,
